Area,Year,Age,Sex,Legally registered relationship status,Ethnic group,Value,Flags
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",789,
"Maungakiekie-Tamaki Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",543,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",54102,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4104,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",3645,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",37776,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",2043,
"Howick Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",921,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",9522,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",6753,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",25767,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",8613,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",312,
"Mangere-Otahuhu Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",171,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",11199,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",7116,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",20673,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",16647,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",534,
"Otara-Papatoetoe Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",219,
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",21237,
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",12168,
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",15378,
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",11814,
"Manurewa Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1290,
